block,height,length,area,eccen,pblock,psmooth,meantr,totalb,totals,trans
text,5,4,20,0.8,0.5,0.8,10,10,16,1
text,13,25,325,1.923,0.234,0.286,10.86,76,93,7
text,13,25,325,1.923,0.351,0.68,6,114,221,19
text,7,16,112,2.286,0.321,0.643,2.57,36,72,14
text,7,103,721,14.714,0.295,0.691,1.76,213,498,121
text,11,9,99,0.818,0.343,0.626,3.4,34,62,10
text,11,8,88,0.727,0.58,1,5.1,51,88,10
text,11,8,88,0.727,0.409,0.477,36,36,42,1
text,11,8,88,0.727,0.602,1,5.89,53,88,9
text,11,35,385,3.182,0.382,0.657,6.13,147,253,24
text,10,38,380,3.8,0.426,0.947,3.12,162,360,52
text,8,8,64,1,0.234,0.328,5,15,21,3
text,10,100,1000,10,0.436,0.91,2.53,436,910,172
text,9,85,765,9.444,0.302,0.812,1.82,231,621,127
text,9,32,288,3.556,0.302,0.781,2.07,87,225,42
text,11,101,1111,9.182,0.398,0.888,2.76,442,987,160
text,11,119,1309,10.818,0.261,0.798,1.88,341,1045,181
text,10,126,1260,12.6,0.425,0.862,2.68,536,1086,200
text,9,13,117,1.444,0.239,0.462,4.67,28,54,6
text,9,75,675,8.333,0.256,0.606,2.19,173,409,79
text,11,119,1309,10.818,0.236,0.747,1.75,309,978,177
text,10,19,190,1.9,0.332,0.695,3.71,63,132,17
text,7,121,847,17.286,0.305,0.675,1.79,258,572,144
text,11,22,242,2,0.417,0.694,4.04,101,168,25
text,11,9,99,0.818,0.404,0.717,4.44,40,71,9
text,11,8,88,0.727,0.545,1,3.2,48,88,15
text,11,21,231,1.909,0.316,0.58,4.29,73,134,17
text,10,100,1000,10,0.444,0.924,2.64,444,924,168
text,9,32,288,3.556,0.299,0.691,2.1,86,199,41
text,9,272,2448,30.222,0.277,0.67,1.86,679,1640,365
text,8,271,2168,33.875,0.314,0.819,1.82,681,1775,375
text,9,198,1782,22,0.289,0.681,1.88,515,1213,274
text,7,4,28,0.571,0.286,0.357,8,8,10,1
text,7,65,455,9.286,0.316,0.848,1.52,144,386,95
text,23,271,6233,11.783,0.126,0.359,1.87,786,2239,420
text,5,13,65,2.6,0.4,1,1.18,26,65,22
text,8,93,744,11.625,0.185,0.538,1.24,138,400,111
text,7,21,147,3,0.293,0.81,1.34,43,119,32
text,7,27,189,3.857,0.079,0.175,2.5,15,33,6
text,7,44,308,6.286,0.218,0.734,1.26,67,226,53
text,7,19,133,2.714,0.248,0.624,1.5,33,83,22
text,7,24,168,3.429,0.232,0.851,1.22,39,143,32
text,7,39,273,5.571,0.253,0.853,1.33,69,233,52
text,7,11,77,1.571,0.325,0.935,1.39,25,72,18
text,7,13,91,1.857,0.363,1,1.94,33,91,17
text,7,11,77,1.571,0.286,0.909,1.29,22,70,17
text,10,13,130,1.3,0.231,0.8,1.76,30,104,17
text,6,11,66,1.833,0.364,0.955,1.33,24,63,18
text,7,19,133,2.714,0.346,0.842,1.77,46,112,26
text,8,14,112,1.75,0.464,0.768,2.6,52,86,20
text,8,12,96,1.5,0.375,0.792,2.57,36,76,14
text,8,32,256,4,0.367,0.688,2.47,94,176,38
text,9,25,225,2.778,0.32,0.707,2.25,72,159,32
text,11,86,946,7.818,0.297,0.748,1.95,281,708,144
text,8,8,64,1,0.5,1,2.91,32,64,11
text,8,27,216,3.375,0.435,0.963,2.14,94,208,44
text,9,20,180,2.222,0.35,0.728,1.91,63,131,33
text,8,13,104,1.625,0.394,0.913,2.28,41,95,18
text,9,34,306,3.778,0.386,0.706,2.41,118,216,49
text,8,15,120,1.875,0.433,0.975,2,52,117,26
text,7,80,560,11.429,0.102,0.468,1.39,57,262,41
text,7,13,91,1.857,0.308,0.978,1.56,28,89,18
text,1,60,60,60,0.217,1,1.08,13,60,12
text,10,10,100,1,0.46,0.46,46,46,46,1
text,10,82,820,8.2,0.362,0.69,2.75,297,566,108
text,14,435,6090,31.071,0.355,0.571,4.58,2164,3478,472
text,9,17,153,1.889,0.523,0.869,7.27,80,133,11
text,10,430,4300,43,0.351,0.772,2.7,1508,3318,559
text,14,372,5208,26.571,0.378,0.586,4.99,1971,3050,395
text,10,18,180,1.8,0.522,0.772,8.55,94,139,11
text,10,143,1430,14.3,0.355,0.775,2.33,508,1108,218
text,7,43,301,6.143,0.545,0.973,2.56,164,293,64
text,17,24,408,1.412,0.36,0.708,5.88,147,289,25
text,7,37,259,5.286,0.521,0.954,3.14,135,247,43
text,9,184,1656,20.444,0.214,0.798,1.46,354,1322,242
text,9,44,396,4.889,0.341,0.677,2.55,135,268,53
text,10,330,3300,33,0.207,0.671,1.61,684,2215,425
text,9,33,297,3.667,0.34,0.677,2.53,101,201,40
text,10,292,2920,29.2,0.203,0.649,1.5,594,1896,397
text,7,50,350,7.143,0.266,0.74,1.45,93,259,64
text,4,93,372,23.25,0.312,0.763,1.66,116,284,70
text,6,94,564,15.667,0.184,0.934,1.32,104,527,79
text,6,7,42,1.167,0.452,1,2.38,19,42,8
text,6,104,624,17.333,0.099,0.258,2,62,161,31
text,9,261,2349,29,0.183,0.718,1.42,430,1686,302
text,9,98,882,10.889,0.302,0.712,2.03,266,628,131
text,4,253,1012,63.25,0.129,0.66,1.41,131,668,93
text,10,18,180,1.8,0.289,0.744,2.6,52,134,20
text,11,22,242,2,0.281,0.669,1.94,68,162,35
text,10,94,940,9.4,0.286,1,1.78,269,940,151
text,14,422,5908,30.143,0.18,0.58,1.7,1062,3426,624
text,13,311,4043,23.923,0.216,0.759,1.63,873,3069,537
text,10,18,180,1.8,0.294,0.872,2.3,53,157,23
text,8,32,256,4,0.402,0.496,34.33,103,127,3
text,8,45,360,5.625,0.492,0.722,9.32,177,260,19
text,8,28,224,3.5,0.438,0.496,19.6,98,111,5
text,12,28,336,2.333,0.265,0.592,3.07,89,199,29
text,11,303,3333,27.545,0.183,0.268,4.97,611,892,123
text,11,5,55,0.455,0.655,0.727,12,36,40,3
text,11,303,3333,27.545,0.151,0.2,7.49,502,666,67
text,11,10,110,0.909,0.436,0.927,4.36,48,102,11
text,11,11,121,1,0.455,0.876,4.23,55,106,13
text,10,121,1210,12.1,0.268,0.664,2.47,324,804,131
text,14,102,1428,7.286,0.356,0.709,2.96,509,1013,172
text,11,11,121,1,0.43,0.802,4.73,52,97,11
text,11,90,990,8.182,0.385,0.882,2.41,381,873,158
text,9,45,405,5,0.306,0.6,1.68,124,243,74
text,10,165,1650,16.5,0.258,0.695,1.65,426,1147,258
text,11,168,1848,15.273,0.234,0.723,1.55,432,1337,279
text,11,147,1617,13.364,0.32,0.607,2.2,518,982,235
text,11,12,132,1.091,0.5,0.818,4.13,66,108,16
text,11,119,1309,10.818,0.268,0.678,1.72,351,887,204
text,11,147,1617,13.364,0.257,0.761,1.58,416,1230,264
text,11,193,2123,17.545,0.243,0.683,1.59,516,1451,325
h_line,3,113,339,37.667,0.41,0.472,13.9,139,160,10
h_line,3,59,177,19.667,0.475,0.475,84,84,84,1
h_line,2,20,40,10,0.675,0.675,27,27,27,1
h_line,2,101,202,50.5,0.54,0.743,10.9,109,150,10
h_line,4,194,776,48.5,0.263,0.273,34,204,212,6
h_line,2,18,36,9,0.667,0.694,24,24,25,1
h_line,2,22,44,11,0.75,0.75,33,33,33,1
h_line,2,18,36,9,0.806,0.833,29,29,30,1
h_line,2,22,44,11,0.705,0.864,15.5,31,38,2
h_line,3,116,348,38.667,0.385,0.494,33.5,134,172,4
h_line,1,10,10,10,1,1,10,10,10,1
h_line,1,13,13,13,1,1,13,13,13,1
h_line,1,8,8,8,1,1,8,8,8,1
h_line,1,44,44,44,0.25,1,2.2,11,44,5
h_line,2,20,40,10,0.725,0.875,29,29,35,1
h_line,2,20,40,10,0.775,0.85,31,31,34,1
h_line,3,113,339,37.667,0.357,0.378,30.25,121,128,4
h_line,2,48,96,24,0.625,0.677,30,60,65,2
h_line,3,116,348,38.667,0.356,0.371,62,124,129,2
h_line,2,18,36,9,0.722,0.722,26,26,26,1
h_line,3,132,396,44,0.505,0.558,20,200,221,10
